Title,Size(m2),#Room,Price(TL),Date,District, Neigborhood, Address,Page Number
Ortaköyde eşyalı 1+1 Kiralık daireler,55,1+1,22000,20-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,1
REDSTONE İCG|Etiler'de 1+1 Eşyalı Daire Faturalar Dahil 1-12 Ay,50,1+1,19500,19-07-2023,Etiler,NA,Etiler,1
BEŞİKTAŞ MERKEZDE LÜX EŞYALI 2+1 DAİRE,110,2+1,25000,19-07-2023,Türkali,Muradiye Mah.,Türkali Muradiye Mah.,1
Ulus Ortaköy Havuzlu Butik Sitede 4+1 Manzaralı Muhteşem Arakat,200,4+1,70000,14-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,1
Ulus Prestijli Sitede Kiralık Çatı Dublexi,350,4+2,150000,14-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,1
Ortaköy Dereboyu Caddesi Toyota Plaza Yanı Mobilyalı-Boş 2+1,120,2+1,20000,13-07-2023,Ortaköy,Ortaköy Mh.,Ortaköy Ortaköy Mh.,1
REDSTONE İCG|Etiler'de 1+0 Eşyalı Jakuzili Daire Faturalar Dahil,35,Stüdyo (1+0),19000,13-07-2023,Etiler,NA,Etiler,1
FIRSAT BEŞİKTAŞ MERKEZDE YENİ BİNADA 2+1 DAİRE,95,2+1,25000,13-07-2023,Türkali,Türkali Mh.,Türkali Türkali Mh.,1
SAHİBİNDEN ANKASTRELİ İÇİ KOMPLE YENİLENMİŞ 2+1 DAİRE,70,2+1,17000,13-07-2023,Ortaköy,Mecidiye Mah.,Ortaköy Mecidiye Mah.,1
"Ulus Gazete Muhabirleri Sitesinde, Deniz Manzaralı 3+1 daire...",125,3+1,40000,12-07-2023,Levazım,Kültür Mh.,Levazım Kültür Mh.,1
ETİLER ÇANAKKALE SERAMİK SİTESİNDE MANZARALI FERAH DAİRE ...,140,3+1,30000,11-07-2023,Etiler,NA,Etiler,1
4 LEVENT METROYA 3 DAKİKA EŞYALI 1+1 RESİDANCE /FURNISHED FLAT/,55,1+1,19500,06-07-2023,Levent,Konaklar Mah.,Levent Konaklar Mah.,1
PETROL SİTESİNDE BAHÇE KULLANIMLI 2+1 90 M2 KİRALIK DAİRE,90,2+1,23000,05-07-2023,Levazım,Nisbetiye Mh.,Levazım Nisbetiye Mh.,1
Ulus Sol Özel Koruda Manzaralı Bahçeli Prestijli Özel Dublex,330,5+1,235000,02-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,1
ERTUĞRUL SİTESİ İÇİNDE 115 m² 3+1 KİRALIK DAİRE,115,3+1,24000,19-06-2023,Gayrettepe,Dikilitaş Mh.,Gayrettepe Dikilitaş Mh.,1
BEŞİKTAŞ ULUS FULL EŞYALI FERAH DAİRE,90,2+1,35000,20-07-2023,Levazım,Ulus Mah.,Levazım Ulus Mah.,1
Etiler de önü açık 3+1 temiz daire,150,3+1,39000,19-07-2023,Etiler,NA,Etiler,1
SERENCEBEY'DE İÇİ SIFIRLANMIŞ 3+1 DAİRE,120,3+1,20000,19-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,1
ERKA PANORAMA SİTESİNDE KÖŞE PLANLI BÜYÜK 2+1 - YILLIK PEŞİN !,100,2+1,20000,19-07-2023,Levent,Konaklar Mah.,Levent Konaklar Mah.,1
"EFOR'DAN,FUL EŞYALI,DENİZ -BOĞAZ-KÖPRÜ MANZARALI,FATURALAR DAHİL.",70,1+1,35000,19-07-2023,Gayrettepe,Yıldız Mh.,Gayrettepe Yıldız Mh.,1
4.LEVENT 3+1 BOŞ KİRALIK DAİRE,140,3+1,25000,19-07-2023,Levent,Konaklar Mah.,Levent Konaklar Mah.,2
